day,date,demand,supply_ordered,units_available,units_used,units_wasted,shortage,extensions_triggered,inventory_level
0,2025-08-10,9,14,14,9,0,0,0,5
1,2025-08-11,16,24,29,16,0,0,0,13
2,2025-08-12,14,19,32,14,0,0,0,18
3,2025-08-13,9,20,38,9,0,0,0,29
4,2025-08-14,10,17,46,10,0,0,0,36
5,2025-08-15,26,25,61,26,0,0,0,35
6,2025-08-16,11,10,45,11,0,0,0,34
7,2025-08-17,18,11,45,18,0,0,0,27
8,2025-08-18,21,22,49,21,0,0,1,28
9,2025-08-19,11,19,47,11,0,0,0,36
10,2025-08-20,11,18,54,11,0,0,0,43
11,2025-08-21,29,16,59,29,0,0,1,30
12,2025-08-22,24,25,55,24,0,0,0,31
13,2025-08-23,35,11,42,35,0,0,0,7
14,2025-08-24,9,13,20,9,0,0,0,11
15,2025-08-25,21,23,34,21,0,0,0,13
16,2025-08-26,14,21,34,14,0,0,0,20
17,2025-08-27,24,21,41,24,0,0,0,17
18,2025-08-28,14,20,37,14,0,0,0,23
19,2025-08-29,18,25,48,18,0,0,0,30
20,2025-08-30,15,12,42,15,0,0,0,27
21,2025-08-31,17,12,39,17,0,0,0,22
22,2025-09-01,13,22,44,13,0,0,0,31
23,2025-09-02,21,22,53,21,0,0,0,32
24,2025-09-03,28,17,49,28,0,0,0,21
25,2025-09-04,13,17,38,13,0,0,0,25
26,2025-09-05,22,19,44,22,0,0,0,22
27,2025-09-06,16,11,33,16,0,0,0,17
28,2025-09-07,21,11,28,21,0,0,0,7
29,2025-09-08,15,22,29,15,0,0,0,14
30,2025-09-09,30,22,36,30,0,0,0,6
31,2025-09-10,20,20,26,20,0,0,0,6
32,2025-09-11,9,16,22,9,0,0,0,13
33,2025-09-12,16,22,35,16,0,0,0,19
34,2025-09-13,5,11,30,5,0,0,0,25
35,2025-09-14,12,12,37,12,0,0,0,25
36,2025-09-15,9,21,46,9,0,0,1,37
37,2025-09-16,22,20,57,22,0,0,1,35
38,2025-09-17,14,21,56,14,0,0,0,42
39,2025-09-18,29,15,57,29,0,0,1,28
40,2025-09-19,7,22,50,7,0,0,0,43
41,2025-09-20,11,12,55,11,0,0,1,44
42,2025-09-21,6,13,57,6,0,0,4,51
43,2025-09-22,21,22,73,21,0,0,1,52
44,2025-09-23,35,23,75,35,0,0,1,40
45,2025-09-24,17,18,58,17,0,0,0,41
46,2025-09-25,18,15,56,18,0,0,0,38
47,2025-09-26,42,17,55,42,0,0,1,13
48,2025-09-27,5,13,26,5,0,0,0,21
49,2025-09-28,8,13,34,8,0,0,0,26
50,2025-09-29,25,21,47,25,0,0,0,22
51,2025-09-30,27,22,44,27,0,0,0,17
52,2025-10-01,12,17,34,12,0,0,0,22
53,2025-10-02,20,21,43,20,0,0,0,23
54,2025-10-03,20,23,46,20,0,0,0,26
55,2025-10-04,6,13,39,6,0,0,0,33
56,2025-10-05,10,12,45,10,0,0,0,35
57,2025-10-06,29,19,54,29,0,0,3,25
58,2025-10-07,12,23,48,12,0,0,0,36
59,2025-10-08,20,21,57,20,0,0,0,37
60,2025-10-09,22,18,55,22,0,0,0,33
61,2025-10-10,17,19,52,17,0,0,0,35
62,2025-10-11,10,11,46,10,0,0,0,36
63,2025-10-12,17,12,48,17,0,0,6,31
64,2025-10-13,33,20,51,33,0,0,2,18
65,2025-10-14,13,19,37,13,0,0,0,24
66,2025-10-15,25,18,42,25,0,0,0,17
67,2025-10-16,15,19,36,15,0,0,0,21
68,2025-10-17,27,16,37,27,0,0,0,10
69,2025-10-18,11,12,22,11,0,0,0,11
70,2025-10-19,6,10,21,6,0,0,0,15
71,2025-10-20,12,22,37,12,0,0,0,25
72,2025-10-21,26,18,43,26,0,0,0,17
73,2025-10-22,17,16,33,17,0,0,0,16
74,2025-10-23,8,16,32,8,0,0,0,24
75,2025-10-24,32,20,44,32,0,0,0,12
76,2025-10-25,6,12,24,6,0,0,0,18
77,2025-10-26,6,9,27,6,0,0,0,21
78,2025-10-27,22,19,40,22,0,0,0,18
79,2025-10-28,14,23,41,14,0,0,0,27
80,2025-10-29,37,18,45,37,0,0,0,8
81,2025-10-30,17,16,24,17,0,0,0,7
82,2025-10-31,26,19,26,26,0,0,0,0
83,2025-11-01,9,12,12,9,0,0,0,3
84,2025-11-02,11,14,17,11,0,0,0,6
85,2025-11-03,24,18,24,24,0,0,0,0
86,2025-11-04,20,18,18,18,0,2,0,0
87,2025-11-05,17,19,19,17,0,0,0,2
88,2025-11-06,15,19,21,15,0,0,0,6
89,2025-11-07,18,22,28,18,0,0,0,10
90,2025-11-08,10,14,24,10,0,0,0,14
91,2025-11-09,7,12,26,7,0,0,0,19
92,2025-11-10,28,20,39,28,0,0,0,11
93,2025-11-11,14,19,30,14,0,0,0,16
94,2025-11-12,15,21,37,15,0,0,0,22
95,2025-11-13,13,18,40,13,0,0,0,27
96,2025-11-14,33,22,49,33,0,0,0,16
97,2025-11-15,8,9,25,8,0,0,0,17
98,2025-11-16,19,12,29,19,0,0,0,10
99,2025-11-17,37,20,30,30,0,7,0,0
100,2025-11-18,14,20,20,14,0,0,0,6
101,2025-11-19,22,19,25,22,0,0,0,3
102,2025-11-20,14,16,19,14,0,0,0,5
103,2025-11-21,19,23,28,19,0,0,0,9
104,2025-11-22,8,13,22,8,0,0,0,14
105,2025-11-23,7,12,26,7,0,0,0,19
106,2025-11-24,37,19,38,37,0,0,0,1
107,2025-11-25,18,20,21,18,0,0,0,3
