day,date,demand,supply_ordered,units_available,units_used,units_wasted,shortage,extensions_triggered,inventory_level
0,2025-08-10,9,13,13,9,0,0,0,4
1,2025-08-11,16,24,28,16,0,0,0,12
2,2025-08-12,14,18,30,14,0,0,0,16
3,2025-08-13,9,19,35,9,0,0,0,26
4,2025-08-14,10,17,43,10,0,0,0,33
5,2025-08-15,26,25,58,26,0,0,0,32
6,2025-08-16,11,10,42,11,0,0,0,31
7,2025-08-17,18,10,41,18,0,0,0,23
8,2025-08-18,21,21,44,21,0,0,0,23
9,2025-08-19,11,18,41,11,0,0,0,30
10,2025-08-20,11,18,48,11,0,0,0,37
11,2025-08-21,29,15,52,29,0,0,0,23
12,2025-08-22,24,24,47,24,0,0,0,23
13,2025-08-23,35,10,33,33,0,2,0,0
14,2025-08-24,9,11,11,9,0,0,0,2
15,2025-08-25,21,21,23,21,0,0,0,2
16,2025-08-26,14,20,22,14,0,0,0,8
17,2025-08-27,24,19,27,24,0,0,0,3
18,2025-08-28,14,18,21,14,0,0,0,7
19,2025-08-29,18,23,30,18,0,0,0,12
20,2025-08-30,15,11,23,15,0,0,0,8
21,2025-08-31,17,12,20,17,0,0,0,3
22,2025-09-01,13,21,24,13,0,0,0,11
23,2025-09-02,21,21,32,21,0,0,0,11
24,2025-09-03,28,17,28,28,0,0,0,0
25,2025-09-04,13,16,16,13,0,0,0,3
26,2025-09-05,22,19,22,22,0,0,0,0
27,2025-09-06,16,11,11,11,0,5,0,0
28,2025-09-07,21,10,10,10,0,11,0,0
29,2025-09-08,15,21,21,15,0,0,0,6
30,2025-09-09,30,21,27,27,0,3,0,0
31,2025-09-10,20,19,19,19,0,1,0,0
32,2025-09-11,9,16,16,9,0,0,0,7
33,2025-09-12,16,22,29,16,0,0,0,13
34,2025-09-13,5,10,23,5,0,0,0,18
35,2025-09-14,12,11,29,12,0,0,0,17
36,2025-09-15,9,20,37,9,0,0,0,28
37,2025-09-16,22,20,48,22,0,0,0,26
38,2025-09-17,14,21,47,14,0,0,0,33
39,2025-09-18,29,14,47,29,0,0,0,18
40,2025-09-19,7,20,38,7,0,0,0,31
41,2025-09-20,11,11,42,11,0,0,0,31
42,2025-09-21,6,11,42,6,0,0,0,36
43,2025-09-22,21,21,57,21,0,0,0,36
44,2025-09-23,35,21,57,35,0,0,0,22
45,2025-09-24,17,17,39,17,0,0,0,22
46,2025-09-25,18,13,35,18,0,0,0,17
47,2025-09-26,42,15,32,32,0,10,0,0
48,2025-09-27,5,11,11,5,0,0,0,6
49,2025-09-28,8,11,17,8,0,0,0,9
50,2025-09-29,25,18,27,25,0,0,0,2
51,2025-09-30,27,19,21,21,0,6,0,0
52,2025-10-01,12,15,15,12,0,0,0,3
53,2025-10-02,20,20,23,20,0,0,0,3
54,2025-10-03,20,21,24,20,0,0,0,4
55,2025-10-04,6,13,17,6,0,0,0,11
56,2025-10-05,10,11,22,10,0,0,0,12
57,2025-10-06,29,19,31,29,0,0,0,2
58,2025-10-07,12,22,24,12,0,0,0,12
59,2025-10-08,20,20,32,20,0,0,0,12
