day,date,demand,supply_ordered,units_available,units_used,units_wasted,shortage,extensions_triggered,inventory_level
0,2025-08-10,9,20,20,9,0,0,0,11
1,2025-08-11,16,20,31,16,0,0,0,15
2,2025-08-12,14,20,35,14,0,0,0,21
3,2025-08-13,9,20,41,9,0,0,0,32
4,2025-08-14,10,20,52,10,0,0,0,42
5,2025-08-15,26,20,62,26,0,0,0,36
6,2025-08-16,11,20,56,11,0,0,0,45
7,2025-08-17,18,20,65,18,0,0,0,47
8,2025-08-18,21,20,67,21,0,0,0,46
9,2025-08-19,11,20,66,11,0,0,0,55
10,2025-08-20,11,20,75,11,0,0,0,64
11,2025-08-21,29,20,84,29,0,0,0,55
12,2025-08-22,24,20,75,24,0,0,0,51
13,2025-08-23,35,20,71,35,0,0,0,36
14,2025-08-24,9,20,56,9,0,0,0,47
15,2025-08-25,21,20,67,21,0,0,0,46
16,2025-08-26,14,20,66,14,0,0,0,52
17,2025-08-27,24,20,72,24,0,0,0,48
18,2025-08-28,14,20,68,14,0,0,0,54
19,2025-08-29,18,20,74,18,0,0,0,56
20,2025-08-30,15,20,76,15,0,0,0,61
21,2025-08-31,17,20,81,17,0,0,0,64
22,2025-09-01,13,20,84,13,0,0,0,71
23,2025-09-02,21,20,91,21,0,0,0,70
24,2025-09-03,28,20,90,28,0,0,0,62
25,2025-09-04,13,20,82,13,0,0,0,69
26,2025-09-05,22,20,89,22,0,0,0,67
27,2025-09-06,16,20,87,16,0,0,0,71
28,2025-09-07,21,20,91,21,0,0,0,70
29,2025-09-08,15,20,90,15,0,0,0,75
30,2025-09-09,30,20,95,30,0,0,0,65
31,2025-09-10,20,20,85,20,0,0,0,65
32,2025-09-11,9,20,85,9,0,0,0,76
33,2025-09-12,16,20,96,16,0,0,0,80
34,2025-09-13,5,20,100,5,0,0,0,95
35,2025-09-14,12,20,100,12,15,0,0,88
36,2025-09-15,9,20,100,9,8,0,0,91
37,2025-09-16,22,20,100,22,11,0,0,78
38,2025-09-17,14,20,98,14,0,0,0,84
39,2025-09-18,29,20,100,29,4,0,0,71
40,2025-09-19,7,20,91,7,0,0,0,84
41,2025-09-20,11,20,100,11,4,0,0,89
42,2025-09-21,6,20,100,6,9,0,0,94
43,2025-09-22,21,20,100,21,14,0,0,79
44,2025-09-23,35,20,99,35,0,0,0,64
45,2025-09-24,17,20,84,17,0,0,0,67
46,2025-09-25,18,20,87,18,0,0,0,69
47,2025-09-26,42,20,89,42,0,0,0,47
48,2025-09-27,5,20,67,5,0,0,0,62
49,2025-09-28,8,20,82,8,0,0,0,74
50,2025-09-29,25,20,94,25,0,0,0,69
51,2025-09-30,27,20,89,27,0,0,0,62
52,2025-10-01,12,20,82,12,0,0,0,70
53,2025-10-02,20,20,90,20,0,0,0,70
54,2025-10-03,20,20,90,20,0,0,0,70
55,2025-10-04,6,20,90,6,0,0,0,84
56,2025-10-05,10,20,100,10,4,0,0,90
57,2025-10-06,29,20,100,29,10,0,0,71
58,2025-10-07,12,20,91,12,0,0,0,79
59,2025-10-08,20,20,99,20,0,0,0,79
60,2025-10-09,22,20,99,22,0,0,0,77
61,2025-10-10,17,20,97,17,0,0,0,80
62,2025-10-11,10,20,100,10,0,0,0,90
63,2025-10-12,17,20,100,17,10,0,0,83
64,2025-10-13,33,20,100,33,3,0,0,67
65,2025-10-14,13,20,87,13,0,0,0,74
66,2025-10-15,25,20,94,25,0,0,0,69
67,2025-10-16,15,20,89,15,0,0,0,74
68,2025-10-17,27,20,94,27,0,0,0,67
69,2025-10-18,11,20,87,11,0,0,0,76
70,2025-10-19,6,20,96,6,0,0,0,90
71,2025-10-20,12,20,100,12,10,0,0,88
72,2025-10-21,26,20,100,26,8,0,0,74
73,2025-10-22,17,20,94,17,0,0,0,77
74,2025-10-23,8,20,97,8,0,0,0,89
75,2025-10-24,32,20,100,32,9,0,0,68
76,2025-10-25,6,20,88,6,0,0,0,82
77,2025-10-26,6,20,100,6,2,0,0,94
78,2025-10-27,22,20,100,22,14,0,0,78
79,2025-10-28,14,20,98,14,0,0,0,84
80,2025-10-29,37,20,100,37,4,0,0,63
81,2025-10-30,17,20,83,17,0,0,0,66
82,2025-10-31,26,20,86,26,0,0,0,60
83,2025-11-01,9,20,80,9,0,0,0,71
84,2025-11-02,11,20,91,11,0,0,0,80
85,2025-11-03,24,20,100,24,0,0,0,76
86,2025-11-04,20,20,96,20,0,0,0,76
87,2025-11-05,17,20,96,17,0,0,0,79
88,2025-11-06,15,20,99,15,0,0,0,84
89,2025-11-07,18,20,100,18,4,0,0,82
90,2025-11-08,10,20,100,10,2,0,0,90
91,2025-11-09,7,20,100,7,10,0,0,93
92,2025-11-10,28,20,100,28,13,0,0,72
93,2025-11-11,14,20,92,14,0,0,0,78
94,2025-11-12,15,20,98,15,0,0,0,83
95,2025-11-13,13,20,100,13,3,0,0,87
96,2025-11-14,33,20,100,33,7,0,0,67
97,2025-11-15,8,20,87,8,0,0,0,79
98,2025-11-16,19,20,99,19,0,0,0,80
99,2025-11-17,37,20,100,37,0,0,0,63
100,2025-11-18,14,20,83,14,0,0,0,69
101,2025-11-19,22,20,89,22,0,0,0,67
102,2025-11-20,14,20,87,14,0,0,0,73
103,2025-11-21,19,20,93,19,0,0,0,74
104,2025-11-22,8,20,94,8,0,0,0,86
105,2025-11-23,7,20,100,7,6,0,0,93
106,2025-11-24,37,20,100,37,13,0,0,63
107,2025-11-25,18,20,83,18,0,0,0,65
108,2025-11-26,9,20,85,9,0,0,0,76
109,2025-11-27,14,20,96,14,0,0,0,82
110,2025-11-28,29,20,100,29,2,0,0,71
111,2025-11-29,4,20,91,4,0,0,0,87
112,2025-11-30,13,20,100,13,7,0,0,87
113,2025-12-01,10,20,100,10,7,0,0,90
114,2025-12-02,18,20,100,18,10,0,0,82
115,2025-12-03,19,20,100,19,2,0,0,81
116,2025-12-04,20,20,100,20,1,0,0,80
117,2025-12-05,13,20,100,13,0,0,0,87
118,2025-12-06,12,20,100,12,7,0,0,88
119,2025-12-07,14,20,100,14,8,0,0,86
120,2025-12-08,15,20,100,15,6,0,0,85
121,2025-12-09,14,20,100,14,5,0,0,86
122,2025-12-10,15,20,100,15,6,0,0,85
123,2025-12-11,29,20,100,29,5,0,0,71
124,2025-12-12,11,20,91,11,0,0,0,80
125,2025-12-13,7,20,100,7,0,0,0,93
126,2025-12-14,15,20,100,15,13,0,0,85
127,2025-12-15,30,20,100,30,5,0,0,70
128,2025-12-16,26,20,90,26,0,0,0,64
129,2025-12-17,24,20,84,24,0,0,0,60
130,2025-12-18,18,20,80,18,0,0,0,62
131,2025-12-19,15,20,82,15,0,0,0,67
132,2025-12-20,11,20,87,11,0,0,0,76
133,2025-12-21,7,20,96,7,0,0,0,89
134,2025-12-22,14,20,100,14,9,0,0,86
135,2025-12-23,14,20,100,14,6,0,0,86
136,2025-12-24,10,20,100,10,6,0,0,90
137,2025-12-25,10,20,100,10,10,0,0,90
138,2025-12-26,42,20,100,42,10,0,0,58
139,2025-12-27,18,20,78,18,0,0,0,60
140,2025-12-28,17,20,80,17,0,0,0,63
141,2025-12-29,17,20,83,17,0,0,0,66
142,2025-12-30,5,20,86,5,0,0,0,81
143,2025-12-31,12,20,100,12,1,0,0,88
